,mean,std,nonmissing
pussycat,4.713692946058091,0.7832752104624747,241
calf,4.635983263598327,0.7973974050418374,239
goat,4.520661157024794,0.8603692496276705,242
bear,4.43801652892562,0.9369550929466636,242
gorilla,4.423236514522822,0.9764516448145986,241
wolf,4.397489539748954,0.9814208824044521,239
hare,4.327800829875518,0.9598257967808409,241
lion,4.278008298755187,1.1112557536097825,241
deer,4.268595041322314,0.9673965625259017,242
pony,4.088235294117647,1.1272367521767246,238
boar,4.058577405857741,1.0752758417215005,239
cheetah,4.03347280334728,1.1734675642118242,239
elephant,4.020746887966805,1.222865939709129,241
lynx,3.9669421487603307,1.1226368212044329,242
giraffe,3.9419087136929463,1.2233606752025714,241
leopard,3.9338842975206614,1.216999488164331,242
squirrel,3.907949790794979,1.2021949383262907,239
puma,3.9,1.1636042692416906,240
hamster,3.892116182572614,1.1276727893226393,241
cavy,3.863070539419087,1.1226481487254998,241
reindeer,3.800829875518672,1.166261538036702,241
antelope,3.790794979079498,1.2014342775766087,239
buffalo,3.7698744769874475,1.220178896227772,239
wallaby,3.6276150627615062,1.3090790601237636,239
raccoon,3.6192468619246863,1.2641658897416619,239
vole,3.6083333333333334,1.2052592792694006,240
polecat,3.404166666666667,1.2803566339818397,240
mink,3.311320754716981,1.2832364854817164,212
mole,3.3016528925619837,1.2866685388277064,242
dolphin,3.1859504132231407,1.4384065518202171,242
opossum,3.1724137931034484,1.3692723259063209,232
oryx,3.0161290322580645,1.4869834743984258,124
seal,2.9166666666666665,1.2514984045634356,240
aardvark,2.8993288590604025,1.3937358237938746,149
sealion,2.8368200836820083,1.2546317268486067,239
fruitbat,2.473684210526316,1.3219861057722953,152
mongoose,2.4375,1.3417385131843826,144
porpoise,2.4248366013071894,1.3213470521917179,153
vampire,2.2422680412371134,1.420817472610729,194
platypus,2.2301255230125525,1.3226264553834908,239
