,mean,std,nonmissing
carp,4.859504132231405,0.6152391853332937,242
pike,4.7112970711297075,0.6892923478392216,239
catfish,4.512605042016807,0.8099127026822296,238
haddock,4.4297872340425535,0.9687234735529031,235
bass,4.429184549356223,0.9849766868070319,233
tuna,4.418410041841004,0.9918978409884558,239
piranha,4.054166666666666,1.1791349097053787,240
herring,4.0176211453744495,1.1443000631806075,227
dogfish,3.1043478260869564,1.3852222131160563,115
chub,2.9915254237288136,1.533086728842021,118
stingray,2.9478260869565216,1.3139724646066393,230
seahorse,2.2416666666666667,1.3475273082884005,240
sole,2.0416666666666665,1.3370562060906843,96
